,Maximum value,Latitude,Longitude,M,Z
1942.0,31.5,23.5667,-103.25,65.0,2070.8
1943.0,45.0,23.5667,-103.25,65.0,2070.8
1944.0,54.900001525878906,23.5667,-103.25,65.0,2070.8
1945.0,35.79999923706055,23.5667,-103.25,65.0,2070.8
1946.0,19.799999237060547,23.5667,-103.25,65.0,2070.8
1947.0,69.9000015258789,23.5667,-103.25,65.0,2070.8
1948.0,19.799999237060547,23.5667,-103.25,65.0,2070.8
1949.0,19.799999237060547,23.5667,-103.25,65.0,2070.8
1950.0,19.799999237060547,23.5667,-103.25,65.0,2070.8
1951.0,74.9000015258789,23.5667,-103.25,65.0,2070.8
1952.0,17.799999237060547,23.5667,-103.25,65.0,2070.8
1953.0,49.79999923706055,23.5667,-103.25,65.0,2070.8
1954.0,47.0,23.5667,-103.25,65.0,2070.8
1955.0,47.0,23.5667,-103.25,65.0,2070.8
1956.0,39.900001525878906,23.5667,-103.25,65.0,2070.8
1957.0,55.900001525878906,23.5667,-103.25,65.0,2070.8
1958.0,42.900001525878906,23.5667,-103.25,65.0,2070.8
1959.0,49.79999923706055,23.5667,-103.25,65.0,2070.8
1960.0,96.80000305175781,23.5667,-103.25,65.0,2070.8
1961.0,36.79999923706055,23.5667,-103.25,65.0,2070.8
1963.0,31.0,23.5667,-103.25,65.0,2070.8
1964.0,34.79999923706055,23.5667,-103.25,65.0,2070.8
1965.0,40.900001525878906,23.5667,-103.25,65.0,2070.8
1966.0,31.0,23.5667,-103.25,65.0,2070.8
1967.0,56.900001525878906,23.5667,-103.25,65.0,2070.8
1969.0,45.0,23.5667,-103.25,65.0,2070.8
1970.0,38.900001525878906,23.5667,-103.25,65.0,2070.8
1971.0,79.19999694824219,23.5667,-103.25,65.0,2070.8
1972.0,35.79999923706055,23.5667,-103.25,65.0,2070.8
1973.0,56.900001525878906,23.5667,-103.25,65.0,2070.8
1974.0,31.0,23.5667,-103.25,65.0,2070.8
1975.0,46.0,23.5667,-103.25,65.0,2070.8
1976.0,51.79999923706055,23.5667,-103.25,65.0,2070.8
1977.0,35.79999923706055,23.5667,-103.25,65.0,2070.8
1978.0,87.9000015258789,23.5667,-103.25,65.0,2070.8
1979.0,17.799999237060547,23.5667,-103.25,65.0,2070.8
1980.0,31.0,23.5667,-103.25,65.0,2070.8
1981.0,57.400001525878906,23.5667,-103.25,65.0,2070.8
1982.0,51.79999923706055,23.5667,-103.25,65.0,2070.8
1983.0,37.29999923706055,23.5667,-103.25,65.0,2070.8
1984.0,31.799999237060547,23.5667,-103.25,65.0,2070.8
1985.0,55.900001525878906,23.5667,-103.25,65.0,2070.8
1986.0,38.900001525878906,23.5667,-103.25,65.0,2070.8
1987.0,63.79999923706055,23.5667,-103.25,65.0,2070.8
1990.0,30.0,23.5667,-103.25,65.0,2070.8
1991.0,39.900001525878906,23.5667,-103.25,65.0,2070.8
1992.0,46.0,23.5667,-103.25,65.0,2070.8
1994.0,35.29999923706055,23.5667,-103.25,65.0,2070.8
1995.0,34.79999923706055,23.5667,-103.25,65.0,2070.8
1996.0,90.9000015258789,23.5667,-103.25,65.0,2070.8
1997.0,33.79999923706055,23.5667,-103.25,65.0,2070.8
1998.0,62.5,23.5667,-103.25,65.0,2070.8
1999.0,47.0,23.5667,-103.25,65.0,2070.8
2000.0,45.0,23.5667,-103.25,65.0,2070.8
2001.0,24.899999618530273,23.5667,-103.25,65.0,2070.8
2002.0,52.79999923706055,23.5667,-103.25,65.0,2070.8
2004.0,45.0,23.5667,-103.25,65.0,2070.8
2005.0,38.900001525878906,23.5667,-103.25,65.0,2070.8
2006.0,67.0999984741211,23.5667,-103.25,65.0,2070.8
2007.0,79.0,23.5667,-103.25,65.0,2070.8
2008.0,34.79999923706055,23.5667,-103.25,65.0,2070.8
2009.0,32.29999923706055,23.5667,-103.25,65.0,2070.8
2010.0,40.900001525878906,23.5667,-103.25,65.0,2070.8
2011.0,22.399999618530273,23.5667,-103.25,65.0,2070.8
2012.0,29.5,23.5667,-103.25,65.0,2070.8
